event_id,event_type,begin_time,peak_time,end_time,class_type,source_location,active_region,instruments,note
2024-08-29T19:00:00-HSS-001,High Speed Stream,2024-08-29T19:00Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2024-09-09T12:27:00-HSS-001,High Speed Stream,2024-09-09T12:27Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-09-14T17:00:00-HSS-001,High Speed Stream,2024-09-14T17:00Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2024-09-24T21:50:00-HSS-001,High Speed Stream,2024-09-24T21:50Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-10-01T20:00:00-HSS-001,High Speed Stream,2024-10-01T20:00Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2024-09-29T14:03:00-HSS-001,High Speed Stream,2024-09-29T14:03Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-10-16T06:53:00-HSS-001,High Speed Stream,2024-10-16T06:53Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-10-22T19:25:00-HSS-001,High Speed Stream,2024-10-22T19:25Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2024-10-26T13:00:00-HSS-001,High Speed Stream,2024-10-26T13:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-11-14T03:42:00-HSS-001,High Speed Stream,2024-11-14T03:42Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-12-08T18:07:00-HSS-001,High Speed Stream,2024-12-08T18:07Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2024-12-15T08:05:00-HSS-001,High Speed Stream,2024-12-15T08:05Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2024-12-21T06:04:00-HSS-001,High Speed Stream,2024-12-21T06:04Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2024-12-21T04:50:00-HSS-001,High Speed Stream,2024-12-21T04:50Z,,,,,,"STEREO A: PLASTIC, STEREO A: IMPACT",
2025-01-04T09:51:00-HSS-001,High Speed Stream,2025-01-04T09:51Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-01-09T08:00:00-HSS-001,High Speed Stream,2025-01-09T08:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-01-13T06:20:00-HSS-001,High Speed Stream,2025-01-13T06:20Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-01-14T11:45:00-HSS-001,High Speed Stream,2025-01-14T11:45Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-01-16T23:39:00-HSS-001,High Speed Stream,2025-01-16T23:39Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-01-17T01:54:00-HSS-001,High Speed Stream,2025-01-17T01:54Z,,,,,,STEREO A: IMPACT,
2025-01-19T02:02:00-HSS-001,High Speed Stream,2025-01-19T02:02Z,,,,,,STEREO A: IMPACT,
2025-01-19T16:00:00-HSS-001,High Speed Stream,2025-01-19T16:00Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-02-03T02:40:00-HSS-001,High Speed Stream,2025-02-03T02:40Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-01-31T21:11:00-HSS-001,High Speed Stream,2025-01-31T21:11Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-02-06T00:00:00-HSS-001,High Speed Stream,2025-02-06T00:00Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-02-09T09:00:00-HSS-001,High Speed Stream,2025-02-09T09:00Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-02-13T08:04:00-HSS-001,High Speed Stream,2025-02-13T08:04Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-02-12T03:28:00-HSS-001,High Speed Stream,2025-02-12T03:28Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-02-18T17:00:00-HSS-001,High Speed Stream,2025-02-18T17:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
